MARKET_ID_BLINDED,PRODUCT_ID_BLINDED,COEFF_INTERCEPT_STD,COEFF_UNIT_PRICE_STD,COEFF_NUMBER_OF_STORES_SELLING_STD,P_VALUE_INTERCEPT,P_VALUE_UNIT_PRICE_STD,P_VALUE_NUMBER_OF_STORES_SELLING_STD,R2_TRAIN,R2_TEST,STD_UNIT_PRICE_ORIGINAL,STD_NUMBER_OF_STORES_SELLING_ORIGINAL,STD_ADJUSTED_PHYSICAL_VOL,MEAN_UNIT_PRICE_ORIGINAL,MEAN_NUMBER_OF_STORES_SELLING_ORIGINAL,MEAN_ADJUSTED_PHYSICAL_VOL
M00217,P002496971635,9.81986613473611,-0.8109685999460258,10.320386121871481,3.9064168474885287e-13,0.36969368643426936,8.549967702271969e-13,0.8443318087198767,0.8246376733830656,1.3365091223718217,3.436648604850079,11.60037868122375,10.069625468237444,4.205882352941177,9.819866134736108
M00513,P002496971635,29.719844595155667,-0.2571763710807128,36.8636196828343,1.4020029374621702e-13,0.9230975430828277,3.7854570504951865e-15,0.8780612319991282,0.9486691163825312,1.6102404893550495,13.368375719875432,39.44766520564843,10.599645371725753,11.971428571428572,29.719844595155674
M01120,P006198451610,725.8817003188576,-68.01938722656065,19.10202801728989,1.4629832377358061e-59,2.780083463355762e-06,0.15465216963398398,0.290208704396139,-0.38166933757059773,1.2126279567391383,17.278959107829127,115.60523328687371,24.213144027159817,349.36365217391324,725.8817003188576
M01519,P002496971635,12.87511356464557,-0.5717847472013409,10.474242942820807,1.684074589945486e-16,0.3124741416281668,1.0900641992980642e-14,0.9453660488110983,0.9740900346699867,0.7563749166985815,6.417748826496718,10.818138623589888,9.767623002909927,8.25,12.875113564645567
M01119,P002496971635,14.886081274456906,-0.9868105041520031,16.995295247051985,7.491095950367741e-17,0.45417367077799076,5.771302433867307e-16,0.8698711449494552,0.8459543236129494,1.3523814899494888,9.295055298470391,18.843071511370873,10.866267590200934,7.790697674418604,14.886081274456906
M00077,P008636861071,73.05167102137139,-9.877410092473987,12.719641574013322,7.246213464534771e-40,0.0001633089086619811,2.5522234004226826e-06,0.40897555790330853,0.5948449777348586,1.8836704882997681,1.6689964812300615,26.036518442408504,22.538379343001687,36.6231884057971,73.0516710213714
M00517,P002496971635,0.7681153619796989,-0.07335734179607335,0.30476989190390674,2.2454423686242936e-13,0.2349265645514403,2.2732914613393117e-05,0.47904039255363107,0.3295047233028062,4.732454151724777,0.3630921887069453,0.45115366766025816,14.573854166666665,1.15625,0.7681153619796987
M01120,P000830194985,131.27912386611635,-5.547619941305643,7.496892764500155,2.6793062091192535e-58,0.0468136438734749,0.007941142026637933,0.282449443411672,0.2280823460750835,2.858634460045626,19.11078277814948,21.748758150210435,47.14478014535465,233.08153623188412,131.27912386611638
M00207,P005701001406,179.22744749813245,-11.37174313100319,51.39726032396633,7.455705410934529e-47,0.022294118507663975,7.532731842769716e-16,0.6823226134260529,0.38875640135789846,1.7429213500958511,45.89220456208394,67.32669469572454,19.51617117088763,161.05471014492753,179.22744749813236
M00207,P000091829940,854.4008381642184,-79.66515989772284,31.17078734091308,2.1260225159866253e-63,1.605541844508958e-08,0.014219025780218567,0.4380264829406426,0.1974958271176791,0.7993147567093393,32.05070631548002,133.48466694877624,11.363523103152934,411.85020289855066,854.400838164218
M01120,P012589031327,159.86165440605308,-8.730717964877101,15.92070220159344,1.0703863007694378e-60,0.0012678819278642162,5.268572374400541e-08,0.3905654549830937,0.24925745566109703,2.7345800564314113,22.574763419321883,26.391070428356866,56.843657204169745,349.0674927536232,159.86165440605313
M00085,P002496971635,1.5103242718418648,0.004349539414053638,1.002235573961589,3.7435933220992854e-24,0.9596583091377342,4.493042251257492e-16,0.7452854405776219,0.6917218671806191,4.441629143230113,1.3633453569856269,1.162357343876274,14.727801293356855,2.259259259259259,1.510324271841865
M00211,P009051545880,893.5034766838473,-413.7305507347187,218.85657946533678,1.3767480734481927e-37,8.885901539795384e-19,1.1474907878571127e-08,0.7183203307651396,0.734469708537459,1.8277672040968458,20.94777874602352,502.67027075422806,11.141353354984487,319.81744927536215,893.5034766838477
M00182,P009391211121,446.2752216403319,-6.689556821275687,63.45761673883952,6.116833435316017e-56,0.5033003686954232,1.985014922423163e-08,0.4379610436562952,-0.00242235437531213,1.2522672407297761,24.176447078537304,90.8603344375888,12.978573107644303,182.146811594203,446.27522164033195
M01120,P040616751570,680.8020764908133,-18.967328400301717,105.97521267131485,5.773568069662926e-56,0.16893224570912826,6.79813410057264e-11,0.48589818766014925,0.48870100235402014,0.6856811033754757,36.16699088546496,144.79791938002623,10.89769504388952,237.70897101449273,680.8020764908133
M00045,P107817191660,42.98757379852175,-4.190894355050068,11.464642701633151,1.1556654189935319e-55,2.8662576630977165e-06,1.939134509739399e-21,0.7817727100305533,0.6857234181150551,1.8213633614331395,13.585826039926522,14.184911742503424,11.261914925297404,51.34782608695652,42.98757379852175
